"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RE van der Merwe",2023-01-22,"Durban's Super Giants","Sunrisers Eastern Cape",2,"4.0",0,20,6,5,15,"SA20","2022/23",1343959,"St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","Durban's Super Giants","Durban's Super Giants","field","RE van der Merwe","Sunrisers Eastern Cape",NA,"124"
"Noor Ahmad",2024-01-28,"Paarl Royals","Durban's Super Giants",2,"3.2",0,11,5,3.3,11,"SA20","2023/24",1392673,"Kingsmead, Durban","Durban","Durban's Super Giants","Paarl Royals","Durban's Super Giants","bat","MP Breetzke","Durban's Super Giants",NA,"125"
"CJ Dala",2024-01-30,"Pretoria Capitals","Durban's Super Giants",2,"4.0",0,26,5,6.5,10,"SA20","2023/24",1392675,"Kingsmead, Durban","Durban","Durban's Super Giants","Pretoria Capitals","Durban's Super Giants","bat","MP Breetzke","Durban's Super Giants",NA,"8"
"M Jansen",2024-02-10,"Durban's Super Giants","Sunrisers Eastern Cape",2,"4.0",0,30,5,7.5,13,"SA20","2023/24",1392685,"Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","Durban's Super Giants","Sunrisers Eastern Cape","bat","TB Abell","Sunrisers Eastern Cape",NA,"89"
"OEG Baartman",2024-02-06,"Durban's Super Giants","Sunrisers Eastern Cape",2,"4.0",1,10,4,2.5,15,"SA20","2023/24",1392682,"Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","Durban's Super Giants","Sunrisers Eastern Cape","bat","OEG Baartman","Sunrisers Eastern Cape",NA,"51"
"OEG Baartman",2024-01-22,"Pretoria Capitals","Sunrisers Eastern Cape",1,"3.3",0,12,4,3.42857142857143,16,"SA20","2023/24",1392666,"St George's Park, Gqeberha","Gqeberha","Pretoria Capitals","Sunrisers Eastern Cape","Sunrisers Eastern Cape","field","OEG Baartman","Sunrisers Eastern Cape","9",NA
"M Jansen",2024-02-06,"Durban's Super Giants","Sunrisers Eastern Cape",2,"3.3",0,16,4,4.57142857142857,13,"SA20","2023/24",1392682,"Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","Durban's Super Giants","Sunrisers Eastern Cape","bat","OEG Baartman","Sunrisers Eastern Cape",NA,"51"
"SR Harmer",2024-01-20,"Durban's Super Giants","Sunrisers Eastern Cape",1,"4.0",0,18,4,4.5,17,"SA20","2023/24",1392663,"Kingsmead, Durban","Durban","Durban's Super Giants","Sunrisers Eastern Cape","Durban's Super Giants","bat","SR Harmer","Sunrisers Eastern Cape","5",NA
"AM Phangiso",2023-01-21,"Sunrisers Eastern Cape","Joburg Super Kings",1,"4.0",0,20,4,5,12,"SA20","2022/23",1343957,"St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","Joburg Super Kings","Joburg Super Kings","field","AM Phangiso","Joburg Super Kings","5",NA
"G Coetzee",2023-01-21,"Sunrisers Eastern Cape","Joburg Super Kings",1,"3.4",0,24,4,6.54545454545455,9,"SA20","2022/23",1343957,"St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","Joburg Super Kings","Joburg Super Kings","field","AM Phangiso","Joburg Super Kings","5",NA
"SJ Cook",2024-02-07,"Paarl Royals","Joburg Super Kings",1,"3.5",0,24,4,6.26086956521739,12,"SA20","2023/24",1392683,"The Wanderers Stadium, Johannesburg","Johannesburg","Paarl Royals","Joburg Super Kings","Joburg Super Kings","field","SJ Cook","Joburg Super Kings","9",NA
"LB Williams",2024-01-15,"Durban's Super Giants","Joburg Super Kings",1,"4.0",0,26,4,6.5,11,"SA20","2023/24",1392658,"Kingsmead, Durban","Durban","Durban's Super Giants","Joburg Super Kings","Durban's Super Giants","bat","H Klaasen","Durban's Super Giants",NA,"37"
"OP Stone",2023-01-13,"Durban's Super Giants","MI Cape Town",2,"3.3",0,28,4,8,11,"SA20","2022/23",1343945,"Newlands, Cape Town","Cape Town","MI Cape Town","Durban's Super Giants","Durban's Super Giants","field","KR Mayers","Durban's Super Giants","5",NA
"RE van der Merwe",2023-02-11,"Pretoria Capitals","Sunrisers Eastern Cape",1,"4.0",0,31,4,7.75,9,"SA20","2022/23",1343973,"The Wanderers Stadium, Johannesburg","Johannesburg","Pretoria Capitals","Sunrisers Eastern Cape","Sunrisers Eastern Cape","field","RE van der Merwe","Sunrisers Eastern Cape","4",NA
"AM Phangiso",2023-01-17,"Pretoria Capitals","Joburg Super Kings",2,"4.0",0,32,4,8,9,"SA20","2022/23",1343951,"The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","Pretoria Capitals","Pretoria Capitals","field","JL du Plooy","Joburg Super Kings",NA,"6"
"E Jones",2023-01-17,"Durban's Super Giants","Paarl Royals",2,"4.0",0,32,4,8,7,"SA20","2022/23",1343950,"Boland Park, Paarl","Paarl","Paarl Royals","Durban's Super Giants","Durban's Super Giants","field","BC Fortuin","Paarl Royals",NA,"10"
"WD Parnell",2024-02-03,"MI Cape Town","Pretoria Capitals",1,"4.0",0,33,4,8.25,10,"SA20","2023/24",1392679,"Newlands, Cape Town","Cape Town","MI Cape Town","Pretoria Capitals","MI Cape Town","bat","K Rabada","Pretoria Capitals","4",NA
"LB Williams",2023-02-09,"Sunrisers Eastern Cape","Joburg Super Kings",1,"4.0",0,36,4,9,11,"SA20","2022/23",1343972,"SuperSport Park, Centurion","Centurion","Sunrisers Eastern Cape","Joburg Super Kings","Joburg Super Kings","field","AK Markram","Sunrisers Eastern Cape",NA,"14"
"CJ Dala",2024-02-08,"Joburg Super Kings","Durban's Super Giants",2,"3.4",0,38,4,10.3636363636364,10,"SA20","2023/24",1392684,"The Wanderers Stadium, Johannesburg","Johannesburg","Durban's Super Giants","Joburg Super Kings","Joburg Super Kings","field","H Klaasen","Durban's Super Giants",NA,"69"
"L Ngidi",2024-01-14,"Pretoria Capitals","Paarl Royals",2,"4.0",0,39,4,9.75,12,"SA20","2023/24",1392657,"SuperSport Park, Centurion","Centurion","Paarl Royals","Pretoria Capitals","Pretoria Capitals","field","L Ngidi","Paarl Royals",NA,"10"
"JDS Neesham",2023-01-18,"Joburg Super Kings","Pretoria Capitals",1,"3.0",0,7,3,2.33333333333333,13,"SA20","2022/23",1343953,"SuperSport Park, Centurion","Centurion","Joburg Super Kings","Pretoria Capitals","Pretoria Capitals","field","JDS Neesham","Pretoria Capitals","6",NA
