"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Campbell",2022,"The Hundred Women's Competition","Manchester Originals",5,52,72,72.2222222222222,13,4,0,1,0,0,23
"A Campbell",2023,"The Hundred Women's Competition","Manchester Originals",3,45,62,72.5806451612903,15,4,0,0,0,0,28
"A Capsey",2021,"The Hundred Women's Competition","Oval Invincibles",8,150,119,126.050420168067,21.4285714285714,23,0,1,0,1,59
"A Capsey",2022,"The Hundred Women's Competition","Oval Invincibles",6,118,83,142.168674698795,29.5,14,4,2,0,0,25
"A Capsey",2023,"The Hundred Women's Competition","Oval Invincibles",7,112,88,127.272727272727,16,15,3,0,0,1,50
"A Cranstone",2022,"The Hundred Women's Competition","Oval Invincibles",1,18,21,85.7142857142857,18,2,0,0,0,0,18
"A Griffiths",2021,"The Hundred Women's Competition","Welsh Fire",3,11,17,64.7058823529412,3.66666666666667,0,0,0,0,0,6
"A Griffiths",2023,"The Hundred Women's Competition","Welsh Fire",2,12,12,100,12,1,0,1,0,0,8
"A Hartley",2022,"The Hundred Women's Competition","Welsh Fire",2,3,5,60,Inf,0,0,2,0,0,2
"A King",2022,"The Hundred Women's Competition","Trent Rockets",6,27,26,103.846153846154,5.4,0,2,1,0,0,19
"A King",2023,"The Hundred Women's Competition","Trent Rockets",4,19,14,135.714285714286,19,1,1,3,0,0,7
"A Shrubsole",2021,"The Hundred Women's Competition","Southern Brave",3,42,35,120,21,5,1,1,0,0,40
"A Shrubsole",2022,"The Hundred Women's Competition","Southern Brave",3,13,12,108.333333333333,13,0,1,2,0,0,11
"A Shrubsole",2023,"The Hundred Women's Competition","Southern Brave",1,0,1,0,NA,0,0,1,0,0,0
"A Stonehouse",2023,"The Hundred Women's Competition","Trent Rockets",1,16,7,228.571428571429,Inf,3,0,1,0,0,16
"A Sutherland",2022,"The Hundred Women's Competition","Welsh Fire",6,88,73,120.547945205479,17.6,5,3,1,0,0,34
"A Wellington",2021,"The Hundred Women's Competition","Southern Brave",3,5,13,38.4615384615385,1.66666666666667,0,0,0,0,0,5
"A Wellington",2022,"The Hundred Women's Competition","Southern Brave",4,28,15,186.666666666667,9.33333333333333,4,1,1,0,0,25
"A Wellington",2023,"The Hundred Women's Competition","Manchester Originals",4,66,52,126.923076923077,66,8,0,3,0,0,33
"AC Kerr",2022,"The Hundred Women's Competition","London Spirit",6,119,101,117.821782178218,23.8,14,0,1,0,0,37
