"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aitken","2015/16","ICC Women's World Twenty20 Qualifier","Scotland",3,18,25,72,18,1,0,2,0,0,8
"A Aitken","2017","ICC Women's World Twenty20 Qualifying Series European-Americas Region","Scotland",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"A Burdett","2013","ICC Women's World Twenty20 Qualifier","Zimbabwe",2,0,1,0,0,0,0,0,0,0,0
"A Chilia","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region","Vanuatu",6,47,97,48.4536082474227,7.83333333333333,8,0,0,0,0,24
"A Kitayama","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region","Japan",1,0,1,0,NA,0,0,1,0,0,0
"A Mazvishaya","2015/16","ICC Women's World Twenty20 Qualifier","Zimbabwe",2,4,8,50,2,0,0,0,0,0,3
"A Nakayama","2013","ICC Women's World Twenty20 Qualifier","Japan",3,31,85,36.4705882352941,15.5,2,0,1,0,0,17
"A Nakayama","2014/15","Asian Games Women's Cricket Competition","Japan",1,2,2,100,2,0,0,0,0,0,2
"A Ndiraya","2013","ICC Women's World Twenty20 Qualifier","Zimbabwe",2,16,26,61.5384615384615,8,3,0,0,0,0,11
"A Ndiraya","2017","ICC Women's World Twenty20 Qualifying Series Africa Region","Zimbabwe",4,79,113,69.9115044247788,26.3333333333333,8,0,1,0,0,25
"A Suda","2013","ICC Women's World Twenty20 Qualifier","Japan",1,0,1,0,0,0,0,0,0,0,0
"A Umetani","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region","Japan",2,7,18,38.8888888888889,3.5,0,0,0,0,0,5
"A van Schoor","2017","ICC Women's World Twenty20 Qualifying Series Africa Region","Namibia",5,19,36,52.7777777777778,3.8,2,0,0,0,0,13
"AC Jayangani","2013","ICC Women's World Twenty20 Qualifier","Sri Lanka",2,23,15,153.333333333333,23,4,0,1,0,0,19
"AC Jayangani","2014/15","Asian Games Women's Cricket Competition","Sri Lanka",3,37,55,67.2727272727273,12.3333333333333,6,0,0,0,0,16
"AC Mushangwe","2017","ICC Women's World Twenty20 Qualifying Series Africa Region","Zimbabwe",1,11,18,61.1111111111111,11,0,0,0,0,0,11
"AH Maqsood","2015/16","ICC Women's World Twenty20 Qualifier","Scotland",1,3,3,100,Inf,0,0,1,0,0,3
"AH Thomson","2015/16","ICC Women's World Twenty20 Qualifier","Netherlands",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"AM Ally","2017","ICC Women's World Twenty20 Qualifying Series Africa Region","Tanzania",2,7,18,38.8888888888889,7,0,0,1,0,0,5
