"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SL Kalis",2017-08-19,"Netherlands","United States of America",1,88,55,6,4,160,FALSE,"ICC Women's World Twenty20 Qualifying Series European-Americas Region","2017",1116060,"New Williamfield No1 Oval","Stirling","Netherlands","United States of America","United States of America","field","SL Kalis","Netherlands",NA,"36"
"CMA Shillington",2013-07-25,"Ireland","Canada",1,81,61,12,0,132.786885245902,FALSE,"ICC Women's World Twenty20 Qualifier","2013",640931,"Merrion Cricket Club Ground","Dublin","Ireland","Canada","Ireland","bat","CMA Shillington","Ireland",NA,"77"
"NA Pratt",2016-08-26,"Singapore","Malaysia",1,76,64,7,0,118.75,TRUE,"Saudari Cup","2016",1049617,"Johor Cricket Academy Oval",NA,"Malaysia","Singapore","Singapore","bat",NA,"Singapore",NA,"6"
"IMHC Joyce",2013-07-31,"Ireland","Netherlands",1,72,64,6,0,112.5,TRUE,"ICC Women's World Twenty20 Qualifier","2013",640959,"YMCA Cricket Club","Dublin","Ireland","Netherlands","Netherlands","field","IMHC Joyce","Ireland",NA,"2"
"T Ruma",2017-04-30,"Papua New Guinea","Japan",1,69,61,5,2,113.114754098361,FALSE,"ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region","2017",1090890,"Sano International Cricket Ground",NA,"Papua New Guinea","Japan","Japan","field","T Ruma","Papua New Guinea",NA,"78"
"S Wetoto",2017-09-13,"Kenya","Namibia",1,61,36,10,0,169.444444444444,TRUE,"ICC Women's World Twenty20 Qualifying Series Africa Region","2017",1118924,"Wanderers Cricket Ground","Windhoek","Kenya","Namibia","Namibia","field","S Wetoto","Kenya",NA,"18"
"L Jack",2017-08-14,"Scotland","Netherlands",2,60,48,6,0,125,FALSE,"ICC Women's World Twenty20 Qualifying Series European-Americas Region","2017",1116056,"New Williamfield No1 Oval","Stirling","Netherlands","Scotland","Scotland","field","L Jack","Scotland","7",NA
"NA Pratt",2016-08-27,"Singapore","Malaysia",1,60,60,4,0,100,TRUE,"Saudari Cup","2016",1049631,"Johor Cricket Academy Oval",NA,"Malaysia","Singapore","Singapore","bat",NA,"Malaysia","5",NA
"CS Mugeri-Tiripano",2017-09-12,"Zimbabwe","Kenya",1,59,48,5,0,122.916666666667,FALSE,"ICC Women's World Twenty20 Qualifying Series Africa Region","2017",1118922,"Wanderers Cricket Ground","Windhoek","Zimbabwe","Kenya","Kenya","field","CS Mugeri-Tiripano","Zimbabwe",NA,"45"
"HW Rambaldo",2013-07-31,"Netherlands","Ireland",2,58,54,3,0,107.407407407407,TRUE,"ICC Women's World Twenty20 Qualifier","2013",640959,"YMCA Cricket Club","Dublin","Ireland","Netherlands","Netherlands","field","IMHC Joyce","Ireland",NA,"2"
"CS Mugeri-Tiripano",2017-09-13,"Zimbabwe","Uganda",1,56,37,8,0,151.351351351351,TRUE,"ICC Women's World Twenty20 Qualifying Series Africa Region","2017",1118925,"Wanderers Cricket Ground","Windhoek","Zimbabwe","Uganda","Uganda","field","CS Mugeri-Tiripano","Zimbabwe",NA,"59"
"Sasha Azmi",2016-08-28,"Malaysia","Singapore",1,54,45,7,0,120,FALSE,"Saudari Cup","2016",1049633,"Johor Cricket Academy Oval",NA,"Malaysia","Singapore","Malaysia","bat",NA,"Malaysia",NA,"16"
"M Veringmeier",2015-11-28,"Netherlands","Ireland",1,53,46,8,0,115.217391304348,FALSE,"ICC Women's World Twenty20 Qualifier","2015/16",881725,"Asian Institute of Technology Ground","Bangkok","Ireland","Netherlands","Netherlands","bat","M Veringmeier","Ireland","8",NA
"HDJ Siegers",2017-08-19,"Netherlands","United States of America",1,51,30,6,1,170,TRUE,"ICC Women's World Twenty20 Qualifying Series European-Americas Region","2017",1116060,"New Williamfield No1 Oval","Stirling","Netherlands","United States of America","United States of America","field","SL Kalis","Netherlands",NA,"36"
"CS Mugeri",2015-11-28,"Zimbabwe","China",2,51,61,4,0,83.6065573770492,TRUE,"ICC Women's World Twenty20 Qualifier","2015/16",881729,"Asian Institute of Technology Ground","Bangkok","China","Zimbabwe","Zimbabwe","field","CS Mugeri","Zimbabwe","10",NA
"Ayasha Rahman",2015-11-17,"Bangladesh","Zimbabwe",1,50,54,5,0,92.5925925925926,FALSE,"Zimbabwe Women tour of Bangladesh","2015/16",940409,"Sheikh Kamal International Cricket Stadium","Cox's Bazar","Bangladesh","Zimbabwe","Zimbabwe","field","Ayasha Rahman","Bangladesh",NA,"35"
"SL Kalis",2015-11-29,"Netherlands","Zimbabwe",2,49,62,3,0,79.0322580645161,FALSE,"ICC Women's World Twenty20 Qualifier","2015/16",881735,"Terdthai Cricket Ground","Bangkok","Netherlands","Zimbabwe","Netherlands","field","P Marange","Zimbabwe",NA,"2"
"SL Kalis",2017-08-18,"Netherlands","Scotland",1,48,45,6,0,106.666666666667,FALSE,"ICC Women's World Twenty20 Qualifying Series European-Americas Region","2017",1116061,"New Williamfield No1 Oval","Stirling","Netherlands","Scotland","Scotland","field","HDJ Siegers","Netherlands",NA,"18"
"KK Gill",2017-11-23,"Hong Kong","China",1,48,50,4,0,96,FALSE,"ICC Women's World Twenty20 Qualifying Series Asia Region","2017/18",1121063,"Asian Institute of Technology Ground","Bangkok","Hong Kong","China","Hong Kong","bat","KK Gill","Hong Kong",NA,"52"
"M Hill",2017-11-23,"Hong Kong","China",1,48,54,5,0,88.8888888888889,FALSE,"ICC Women's World Twenty20 Qualifying Series Asia Region","2017/18",1121063,"Asian Institute of Technology Ground","Bangkok","Hong Kong","China","Hong Kong","bat","KK Gill","Hong Kong",NA,"52"
"FO Kibasu",2017-09-08,"Tanzania","Kenya",1,48,62,5,0,77.4193548387097,TRUE,"ICC Women's World Twenty20 Qualifying Series Africa Region","2017",1118917,"Wanderers Cricket Ground","Windhoek","Tanzania","Kenya","Kenya","field","FO Kibasu","Kenya","2",NA
"Nain Abidi",2013-07-23,"Pakistan","Thailand",1,47,38,7,0,123.684210526316,FALSE,"ICC Women's World Twenty20 Qualifier","2013",640929,"YMCA Cricket Club","Dublin","Pakistan","Thailand","Pakistan","bat","Nain Abidi","Pakistan",NA,"69"
