"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Qais Ahmad",2018-10-21,"Kabul Zwanan","Balkh Legends",1,"4.0",0,18,5,4.5,12,"Afghanistan Premier League","2018/19",1160591,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Balkh Legends","Kabul Zwanan","bat","Qais Ahmad","Balkh Legends","4",NA
"BCJ Cutting",2018-10-06,"Kandahar Knights","Nangarhar Leopards",1,"4.0",0,28,5,7,12,"Afghanistan Premier League","2018/19",1160570,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Nangarhar Leopards","Kandahar Knights","bat","BCJ Cutting","Nangarhar Leopards","6",NA
"Gulbadin Naib",2018-10-07,"Kandahar Knights","Balkh Legends",2,"4.0",0,12,4,3,12,"Afghanistan Premier League","2018/19",1160573,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Kandahar Knights","Kandahar Knights","field","Gulbadin Naib","Balkh Legends",NA,"13"
"Mohammad Nabi",2018-10-19,"Nangarhar Leopards","Balkh Legends",2,"3.1",0,12,4,3.78947368421053,13,"Afghanistan Premier League","2018/19",1160589,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Balkh Legends","bat","Mohammad Nabi","Balkh Legends",NA,"171"
"Mujeeb Ur Rahman",2018-10-13,"Kandahar Knights","Nangarhar Leopards",1,"4.0",0,16,4,4,14,"Afghanistan Premier League","2018/19",1160581,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Nangarhar Leopards","Kandahar Knights","bat","Karim Janat","Kandahar Knights",NA,"26"
"Mirwais Ashraf",2018-10-11,"Nangarhar Leopards","Balkh Legends",2,"4.0",0,19,4,4.75,13,"Afghanistan Premier League","2018/19",1160577,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Nangarhar Leopards","field","Mirwais Ashraf","Balkh Legends",NA,"25"
"Sayed Shirzad",2018-10-12,"Paktia Panthers","Kandahar Knights",1,"3.2",0,19,4,5.7,9,"Afghanistan Premier League","2018/19",1160578,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","I Udana","Paktia Panthers",NA,"9"
"Rashid Khan",2018-10-20,"Paktia Panthers","Kabul Zwanan",2,"3.5",0,20,4,5.21739130434783,12,"Afghanistan Premier League","2018/19",1160590,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Paktia Panthers","Kabul Zwanan","bat","Rashid Khan","Kabul Zwanan",NA,"90"
"I Udana",2018-10-10,"Balkh Legends","Paktia Panthers",2,"4.0",0,38,4,9.5,12,"Afghanistan Premier League","2018/19",1160575,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Balkh Legends","Balkh Legends","field","CS Delport","Paktia Panthers",NA,"37"
"Karim Janat",2018-10-16,"Kabul Zwanan","Kandahar Knights",2,"4.0",0,14,3,3.5,15,"Afghanistan Premier League","2018/19",1160584,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Kabul Zwanan","Kabul Zwanan","field","Rashid Khan","Kabul Zwanan","4",NA
"RS Bopara",2018-10-13,"Paktia Panthers","Balkh Legends",2,"3.0",0,17,3,5.66666666666667,10,"Afghanistan Premier League","2018/19",1160580,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Paktia Panthers","Balkh Legends","bat","RN ten Doeschate","Balkh Legends",NA,"89"
"Qais Ahmad",2018-10-19,"Nangarhar Leopards","Balkh Legends",2,"4.0",0,18,3,4.5,19,"Afghanistan Premier League","2018/19",1160589,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Balkh Legends","bat","Mohammad Nabi","Balkh Legends",NA,"171"
"I Udana",2018-10-12,"Kandahar Knights","Paktia Panthers",2,"4.0",0,19,3,4.75,16,"Afghanistan Premier League","2018/19",1160578,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","I Udana","Paktia Panthers",NA,"9"
"Qais Ahmad",2018-10-17,"Nangarhar Leopards","Balkh Legends",2,"4.0",0,19,3,4.75,12,"Afghanistan Premier League","2018/19",1160585,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Balkh Legends","bat","ADS Fletcher","Nangarhar Leopards","6",NA
"Waqar Salamkheil",2018-10-13,"Nangarhar Leopards","Kandahar Knights",2,"4.0",0,20,3,5,10,"Afghanistan Premier League","2018/19",1160581,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Nangarhar Leopards","Kandahar Knights","bat","Karim Janat","Kandahar Knights",NA,"26"
"Mirwais Ashraf",2018-10-18,"Kandahar Knights","Balkh Legends",1,"4.0",0,24,3,6,15,"Afghanistan Premier League","2018/19",1160587,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Balkh Legends","Balkh Legends","field","CH Gayle","Balkh Legends","6",NA
"BCJ Cutting",2018-10-07,"Paktia Panthers","Nangarhar Leopards",1,"4.0",0,25,3,6.25,10,"Afghanistan Premier League","2018/19",1160572,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Nangarhar Leopards","Paktia Panthers","bat","BCJ Cutting","Paktia Panthers",NA,"21"
"Rahmat Shah",2018-10-12,"Kabul Zwanan","Nangarhar Leopards",2,"4.0",0,25,3,6.25,13,"Afghanistan Premier League","2018/19",1160579,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Kabul Zwanan","Kabul Zwanan","field","Rahmat Shah","Nangarhar Leopards",NA,"15"
"Ziaur Rahman",2018-10-14,"Nangarhar Leopards","Paktia Panthers",1,"4.0",0,27,3,6.75,12,"Afghanistan Premier League","2018/19",1160583,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Paktia Panthers","Nangarhar Leopards","bat","Mohammad Shahzad","Paktia Panthers","7",NA
"Mujeeb Ur Rahman",2018-10-12,"Kabul Zwanan","Nangarhar Leopards",2,"4.0",0,29,3,7.25,10,"Afghanistan Premier League","2018/19",1160579,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Kabul Zwanan","Kabul Zwanan","field","Rahmat Shah","Nangarhar Leopards",NA,"15"
"Sharafuddin Ashraf",2018-10-12,"Kandahar Knights","Paktia Panthers",2,"4.0",0,31,3,7.75,12,"Afghanistan Premier League","2018/19",1160578,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","I Udana","Paktia Panthers",NA,"9"
"Ziaur Rahman",2018-10-10,"Balkh Legends","Paktia Panthers",2,"4.0",0,34,3,8.5,9,"Afghanistan Premier League","2018/19",1160575,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Balkh Legends","Balkh Legends","field","CS Delport","Paktia Panthers",NA,"37"
"WD Parnell",2018-10-21,"Balkh Legends","Kabul Zwanan",2,"4.0",0,35,3,8.75,11,"Afghanistan Premier League","2018/19",1160591,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Balkh Legends","Kabul Zwanan","bat","Qais Ahmad","Balkh Legends","4",NA
"Sayed Shirzad",2018-10-11,"Kabul Zwanan","Kandahar Knights",1,"4.0",0,36,3,9,11,"Afghanistan Premier League","2018/19",1160576,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Kandahar Knights","Kandahar Knights","field","Shahidullah","Kabul Zwanan",NA,"2"
"Sayed Shirzad",2018-10-17,"Paktia Panthers","Kandahar Knights",1,"4.0",0,36,3,9,8,"Afghanistan Premier League","2018/19",1160586,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","Asghar Stanikzai","Kandahar Knights","4",NA
"B Laughlin",2018-10-14,"Kabul Zwanan","Balkh Legends",2,"4.0",0,37,3,9.25,9,"Afghanistan Premier League","2018/19",1160582,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Kabul Zwanan","Balkh Legends","bat","CH Gayle","Balkh Legends",NA,"21"
"Ziaur Rahman",2018-10-17,"Kandahar Knights","Paktia Panthers",2,"4.0",0,40,3,10,10,"Afghanistan Premier League","2018/19",1160586,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","Asghar Stanikzai","Kandahar Knights","4",NA
"Qais Ahmad",2018-10-13,"Paktia Panthers","Balkh Legends",2,"2.0",0,5,2,2.5,8,"Afghanistan Premier League","2018/19",1160580,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Paktia Panthers","Balkh Legends","bat","RN ten Doeschate","Balkh Legends",NA,"89"
"Gulbadin Naib",2018-10-11,"Nangarhar Leopards","Balkh Legends",2,"2.1",0,10,2,4.61538461538462,9,"Afghanistan Premier League","2018/19",1160577,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Nangarhar Leopards","field","Mirwais Ashraf","Balkh Legends",NA,"25"
"Mohammad Naveed",2018-10-13,"Nangarhar Leopards","Kandahar Knights",2,"3.0",0,10,2,3.33333333333333,13,"Afghanistan Premier League","2018/19",1160581,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","Nangarhar Leopards","Kandahar Knights","bat","Karim Janat","Kandahar Knights",NA,"26"
"Aftab Alam",2018-10-13,"Paktia Panthers","Balkh Legends",2,"3.0",0,14,2,4.66666666666667,9,"Afghanistan Premier League","2018/19",1160580,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Paktia Panthers","Balkh Legends","bat","RN ten Doeschate","Balkh Legends",NA,"89"
"I Udana",2018-10-14,"Nangarhar Leopards","Paktia Panthers",1,"4.0",0,14,2,3.5,16,"Afghanistan Premier League","2018/19",1160583,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Paktia Panthers","Nangarhar Leopards","bat","Mohammad Shahzad","Paktia Panthers","7",NA
"Mirwais Ashraf",2018-10-19,"Nangarhar Leopards","Balkh Legends",2,"2.0",0,14,2,7,7,"Afghanistan Premier League","2018/19",1160589,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Balkh Legends","bat","Mohammad Nabi","Balkh Legends",NA,"171"
"Muslim Musa",2018-10-20,"Paktia Panthers","Kabul Zwanan",2,"2.0",0,17,2,8.5,5,"Afghanistan Premier League","2018/19",1160590,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Paktia Panthers","Kabul Zwanan","bat","Rashid Khan","Kabul Zwanan",NA,"90"
