"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Austin",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,7,9,77.7777777777778,7,1,0,0,0,0,7
"A Austin",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",2,46,61,75.4098360655738,23,6,0,0,0,0,23
"A Balbirnie",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,75,85,88.2352941176471,37.5,10,0,0,0,0,40
"A Balbirnie",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,39,73,53.4246575342466,13,6,0,0,0,0,25
"A Balbirnie",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,350,399,87.719298245614,87.5,37,7,0,1,2,125
"A Balbirnie",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,218,277,78.7003610108303,109,24,3,2,1,1,126
"A Balbirnie",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",5,110,201,54.726368159204,22,10,2,0,0,1,62
"A Balbirnie",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,20,14,142.857142857143,20,4,0,0,0,0,20
"A Cawley",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"A Dennison",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,73,102,71.5686274509804,36.5,8,0,0,0,1,73
"A Dennison",2017,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,23,29,79.3103448275862,11.5,3,0,0,0,0,23
"A Dennison",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",3,37,62,59.6774193548387,12.3333333333333,5,0,0,0,0,22
"A McDaid",2019,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,6,9,66.6666666666667,6,0,1,0,0,0,6
"A Rosslee",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,3,22,13.6363636363636,1.5,0,0,0,0,0,2
"A Sidhu",2021,"Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",2,3,15,20,1.5,0,0,0,0,0,2
"A Sidhu",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,0,0,NA,NA,0,0,1,0,0,0
"A Sidhu",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,1,11,9.09090909090909,1,0,0,0,0,0,1
"A Sidhu",2024,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,9,29,31.0344827586207,9,1,0,0,0,0,9
"AD Poynter",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,109,112,97.3214285714286,109,13,2,1,0,2,56
"AI Shields",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,8,8,100,8,2,0,0,0,0,8
"AJ Malan",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",1,5,14,35.7142857142857,5,0,0,0,0,0,5
"AP Chore",2022,"Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",4,171,250,68.4,42.75,15,1,0,0,1,65
"AP Chore",2023,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",3,85,159,53.4591194968553,28.3333333333333,8,0,0,0,0,36
"AP Gillespie",2016,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,5,12,41.6666666666667,5,0,0,0,0,0,5
"AP Gillespie",2018,"Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",3,29,46,63.0434782608696,9.66666666666667,5,0,0,0,0,23
